id,pl,pw,sl,sw
3434,6.2,2.6,5.1,1.5
3435,6.2,2.5,5.6,1.4
3436,7.6,3,6.1,2.5
3437,6.2,3.4,5.7,2.5
3438,6.5,3,5.5,1.9
3439,5.9,2.9,4.8,1.9
3440,6.8,2.9,5.2,2
3441,6.6,3.1,5.4,2.4
3442,6.7,3,5,2.2
3443,5.6,2.5,5,2
3444,6.8,3.3,5.8,2.2
3445,6.7,3.2,5.6,2.6
3446,6.6,2.9,5.1,2.4
3447,6.3,2.5,4.8,2
3448,6.5,2.9,5.2,2
3449,6.2,3.3,5.4,2.3
3450,5.9,2.9,5.2,2
3451,5.1,3.5,1.2,0.2
3452,4.7,3,1.4,0.3
3453,4.7,3.1,1.2,0.3
3454,4.5,3.1,1.5,0.3
3455,4.9,3.5,1.5,0.1
3456,5.4,4,1.7,0.4
3457,4.6,3.4,1.5,0.4
3458,5.1,3.3,1.5,0.3
3459,4.2,2.9,1.3,0.2
3460,4.8,3,1.6,0.1
3461,5.3,3.7,1.4,0.1
3462,4.8,3.4,1.5,0.3
3463,4.8,3,1.3,0.2
3464,4.1,3,1.1,0.1
3465,5.7,4,1.2,0.3
3466,5.7,4.3,1.5,0.3
3467,5.4,3.9,1.2,0.5
3468,5,3.4,1.4,0.3
3469,5.7,3.7,1.7,0.3
3470,4.9,3.8,1.4,0.2
3471,5.3,3.3,1.6,0.3
3472,5.1,3.6,1.4,0.4
3473,4.5,3.6,0.9,0.3
3474,5.2,3.2,1.8,0.5
3475,4.7,3.4,1.9,0.4
3476,4.9,2.9,1.4,0.2
3477,4.9,3.4,1.7,0.5
3478,5.2,3.5,1.5,0.2
3479,5.3,3.4,1.4,0.2
3480,4.6,3.2,1.6,0.4
3481,4.8,3.1,1.5,0.2
3482,5.4,3.4,1.4,0.3
3483,5.2,4.2,1.4,0.2
3484,5.5,4.1,1.3,0.4
3485,4.8,3,1.6,0.2
3486,4.9,3,1.1,0.1
3487,5.5,3.5,1.2,0.3
3488,4.9,3,1.4,0.1
3489,4.5,2.8,1.2,0.3
3490,5.1,3.4,1.6,0.3
3491,4.9,3.4,1.3,0.4
3492,4.6,2.2,1.3,0.4
3493,4.4,3.2,1.2,0.2
3494,5,3.5,1.7,0.7
3495,5,3.9,1.8,0.5
3496,4.8,3.1,1.2,0.3
3497,4.9,3.8,1.6,0.2
3498,4.7,3.2,1.5,0.3
3499,5.1,3.6,1.5,0.4
3500,5,3.2,1.4,0.3
3501,7,3,4.6,1.4
3502,6.3,3.1,4.4,1.5
3503,6.8,3,4.9,1.5
3504,5.4,2.2,4.1,1.4
3505,6.4,2.8,4.6,1.4
3506,5.7,2.7,4.5,1.4
3507,6.3,3.3,4.7,1.7
3508,4.7,2.2,3.2,1
3509,6.6,3,4.5,1.2
3510,5.2,2.6,3.8,1.4
3511,4.9,1.9,3.4,0.9
3512,5.9,2.9,4.1,1.5
3513,6,2.1,3.9,1.1
3514,6,2.8,4.5,1.5
3515,5.6,2.9,3.6,1.4
3516,6.6,3,4.2,1.5
3517,5.5,2.9,4.4,1.6
3518,5.6,2.6,4,1.2
3519,6,2.1,4.4,1.7
3520,5.5,2.4,3.9,1.2
3521,5.9,3.2,4.8,1.9
3522,5.9,2.7,3.9,1.3
3523,6.2,2.4,4.9,1.5
3524,6.1,2.7,4.6,1.2
3525,6.5,3,4.4,1.3
3526,6.6,3,4.4,1.5
3527,6.8,2.8,4.6,1.4
3528,6.7,2.9,5.1,1.8
3529,6,2.9,4.5,1.5
3530,5.7,2.6,3.6,1
3531,5.4,2.3,3.7,1.1
3532,5.5,2.4,3.6,1
3533,5.7,2.6,3.9,1.2
3534,5.8,2.6,5.1,1.7
3535,5.3,3,4.4,1.6
3536,6,3.3,4.3,1.8
3537,6.7,3.1,4.7,1.5
3538,6.2,2.3,4.3,1.5
3539,5.6,3,4,1.5
3540,5.4,2.4,3.9,1.4
3541,5.4,2.6,4.4,1.3
3542,6,3.1,4.6,1.5
3543,5.7,2.4,4,1.2
3544,4.9,2.1,3.2,1
3545,5.5,2.8,4.1,1.3
3546,5.7,3,4.2,1.1
3547,5.7,2.8,4.1,1.3
3548,6.2,2.8,4.3,1.5
3549,5.2,2.6,3.1,1.2
3550,5.7,2.6,4.1,1.4
3551,6.4,3.2,5.8,2.4
3552,5.7,2.7,4.9,1.8
3553,6.9,2.9,5.8,2.1
3554,6.2,2.8,5.5,1.9
3555,6.5,2.9,5.7,2.2
3556,7.5,2.8,6.5,2.1
3557,4.7,2.4,4.6,1.6
3558,7.2,2.9,6.2,1.8
3559,6.7,2.3,5.8,1.9
3560,7.2,3.7,6.1,2.5
3561,6.4,3.1,5,2.1
3562,6.4,2.5,5.2,1.9
3563,6.6,3,5.4,2.2
3564,5.7,2.5,5,2
3565,5.8,2.7,5.1,2.5
3566,6.2,3.2,5.3,2.2
3567,6.5,2.9,5.4,2
3568,7.7,3.8,6.6,2.2
3569,7.6,2.6,6.7,2.2
3570,6.1,2.2,5,1.6
3571,6.9,3,5.7,2.3
3572,5.6,2.9,5,2
3573,7.6,2.7,6.7,2.1
3574,6.2,2.7,4.9,1.8
3575,6.6,3.2,5.7,2.1
3576,7.2,3.1,5.9,1.8
3577,6.1,2.7,4.7,1.9
3578,6.1,2.8,4.8,1.9
3579,6.4,2.8,5.4,2.2
3580,7.2,2.9,5.8,1.6
3581,7.4,2.9,6,1.9
3582,7.9,3.8,6.5,2
3583,6.3,2.8,5.6,2.2
3584,6.2,2.7,5.1,1.5
3585,6.1,2.5,5.5,1.4
3586,7.7,3,6,2.4
3587,6.2,3.3,5.5,2.4
3588,6.4,3.1,5.6,1.9
3589,5.9,3,4.6,1.8
3590,6.9,3.1,5.3,2.2
3591,6.7,2.9,5.6,2.6
3592,6.8,2.9,5.1,2.3
3593,5.7,2.7,5.1,2
3594,6.7,3.1,5.7,2.3
3595,6.7,3.3,5.7,2.6
3596,6.7,3.1,5.2,2.4
3597,6.2,2.4,4.9,2
3598,6.5,3,5.2,2
3599,6.1,3.4,5.3,2.5
3600,5.8,2.9,5.1,1.9
3601,4.9,3.5,1.4,0.1
3602,4.8,3.1,1.4,0.4
3603,4.6,3.1,1.3,0.2
3604,4.6,3,1.4,0.2
3605,5,3.7,1.3,0.3
3606,5.4,3.8,1.6,0.5
3607,4.5,3.4,1.4,0.4
3608,4.9,3.4,1.4,0.2
3609,4.3,2.7,1.3,0.1
3610,4.9,3,1.4,0.1
3611,5.4,3.6,1.5,0.3
3612,4.8,3.3,1.5,0.3
3613,4.7,2.9,1.4,0.2
3614,4.4,2.9,1,0.1
3615,5.8,3.8,1.1,0.4
3616,5.6,4.3,1.6,0.5
3617,5.4,3.8,1.1,0.4
3618,5,3.6,1.3,0.3
3619,5.7,3.8,1.6,0.4
3620,5.1,3.6,1.4,0.3
3621,5.3,3.4,1.7,0.2
3622,5,3.7,1.5,0.5
3623,4.5,3.4,0.9,0.2
3624,5,3.2,1.8,0.5
3625,4.6,3.5,2,0.3
3626,4.9,2.8,1.5,0.3
3627,5.1,3.4,1.4,0.6
3628,5.2,3.5,1.4,0.2
3629,5.2,3.3,1.3,0.3
3630,4.6,3.3,1.6,0.3
3631,4.6,3.1,1.4,0.2
3632,5.4,3.3,1.4,0.5
3633,5.1,3.9,1.4,0.2
3634,5.5,4.2,1.2,0.2
3635,4.8,3.1,1.5,0.2
3636,5,3.2,1.2,0.2
3637,5.5,3.4,1.2,0.2
3638,4.8,3,1.4,0.1
3639,4.4,2.9,1.2,0.4
3640,5.1,3.4,1.3,0.3
3641,4.8,3.5,1.3,0.3
3642,4.5,2.2,1.4,0.4
3643,4.2,3,1.3,0.2
3644,4.9,3.5,1.6,0.6
3645,5,3.6,1.9,0.5
3646,4.8,3,1.4,0.3
3647,5.1,3.7,1.5,0.3
3648,4.6,3.1,1.3,0.3
3649,5.2,3.7,1.6,0.3
3650,4.8,3.2,1.3,0.2
3651,7,3.1,4.7,1.5
3652,6.4,3.2,4.6,1.5
3653,6.8,3.1,5,1.4
3654,5.5,2.3,4,1.4
3655,6.5,2.7,4.7,1.5
3656,5.8,2.7,4.5,1.4
3657,6.3,3.3,4.6,1.5
3658,4.7,2.3,3.3,1.1
3659,6.7,2.7,4.5,1.4
3660,5.1,2.6,3.9,1.4
3661,4.8,2,3.4,1
3662,5.9,3,4.2,1.6
3663,6,2,4,1.1
3664,6.1,2.9,4.7,1.4
3665,5.5,2.8,3.6,1.3
3666,6.7,3,4.3,1.6
3667,5.5,2.9,4.4,1.7
3668,5.7,2.7,4,1.1
3669,6.1,2.1,4.6,1.6
3670,5.6,2.4,3.7,1.1
3671,5.8,3.1,4.8,1.8
3672,6.1,2.7,4,1.4
3673,6.3,2.5,4.9,1.4
3674,6.1,2.7,4.6,1.3
3675,6.4,2.7,4.3,1.3
3676,6.5,3,4.2,1.5
3677,6.6,2.7,4.7,1.4
3678,6.6,3,4.8,1.6
3679,5.9,2.9,4.5,1.5
3680,5.7,2.5,3.4,1
3681,5.4,2.3,3.8,1.1
3682,5.4,2.3,3.6,1
3683,5.7,2.5,3.8,1.4
3684,6,2.7,4.9,1.8
3685,5.4,2.9,4.3,1.5
3686,5.8,3.3,4.4,1.6
3687,6.7,3.1,4.7,1.5
3688,6.4,2.2,4.3,1.4
3689,5.6,3,4.1,1.4
3690,5.4,2.4,4,1.4
3691,5.5,2.6,4.4,1.3
3692,6.1,3,4.6,1.6
3693,5.7,2.6,3.9,1.4
3694,4.9,2.3,3.2,1.1
3695,5.5,2.6,4.1,1.4
3696,5.5,3.1,4.2,1.2
3697,5.7,2.8,4.3,1.4
3698,6.1,2.8,4.4,1.4
3699,5.1,2.4,3,1.3
3700,5.8,2.9,4.1,1.3
3701,6.1,3.2,6,2.5
3702,5.9,2.7,5.1,2
3703,7.1,3,5.7,2.1
3704,6.3,3,5.7,2
3705,6.6,3,5.8,2.2
3706,7.6,3,6.5,2.2
3707,4.9,2.4,4.4,1.8
3708,7.3,2.9,6.3,1.8
3709,6.6,2.3,5.8,2
3710,7.1,3.5,6,2.6
3711,6.5,3.1,5,2
3712,6.3,2.7,5.3,1.9
3713,6.8,2.9,5.5,2.1
3714,5.6,2.3,4.9,2
3715,5.8,2.7,5.1,2.6
3716,6.3,3.1,5.3,2.4
3717,6.4,3,5.4,1.7
3718,7.8,3.8,6.7,2.2
3719,7.7,2.5,6.9,2.4
3720,6,2.2,4.9,1.5
3721,6.8,3.2,5.7,2.5
3722,5.5,2.7,4.8,2
3723,7.6,2.7,6.8,2.2
3724,6.3,2.6,4.7,2
3725,6.7,3.2,5.6,2.2
3726,7.1,3,6,1.9
3727,6.2,2.8,4.8,1.8
3728,6.1,2.8,5,1.9
3729,6.5,2.8,5.7,2.2
3730,7.1,2.9,5.8,1.7
3731,7.2,2.8,6,2
3732,7.8,3.8,6.4,2
3733,6.4,2.8,5.5,2.4
3734,6.1,2.8,5,1.7
3735,5.9,2.5,5.5,1.4
3736,7.7,3,6,2.3
3737,6.3,3.4,5.6,2.4
3738,6.4,3,5.4,1.9
3739,6,3,4.8,1.9
3740,6.8,3.1,5.3,2.2
3741,6.7,3.2,5.7,2.5
3742,6.9,3.1,5.1,2.4
3743,5.9,2.5,5,2
3744,6.7,3.1,5.8,2.3
3745,6.7,3.1,5.7,2.6
3746,6.6,3.1,5.3,2.3
3747,6.3,2.3,4.9,1.9
3748,6.5,3,5.3,2.1
3749,6.2,3.4,5.3,2.4
3750,5.7,3,5,1.7
3751,5.1,3.6,1.5,0.3
3752,4.9,3,1.3,0.3
3753,4.7,3.1,1.3,0.2
3754,4.4,3.1,1.5,0.2
3755,4.8,3.5,1.3,0.2
3756,5.4,4,1.6,0.5
3757,4.5,3.4,1.4,0.4
3758,5,3.3,1.4,0.3
3759,4.4,2.8,1.3,0.3
3760,4.9,3,1.5,0.2
3761,5.3,3.6,1.5,0.3
3762,4.7,3.5,1.6,0.2
3763,4.8,3,1.4,0.1
3764,4.3,2.9,1.1,0.1
3765,5.8,3.8,1.1,0.2
3766,5.7,4.2,1.4,0.5
3767,5.2,3.8,1.2,0.5
3768,5,3.4,1.2,0.3
3769,5.8,3.6,1.7,0.5
3770,5.1,3.8,1.4,0.3
3771,5.3,3.4,1.7,0.3
3772,5,3.7,1.5,0.6
3773,4.6,3.6,1.1,0.2
3774,5,3.3,1.7,0.6
3775,4.8,3.4,2,0.2
3776,5,2.9,1.6,0.3
3777,5,3.3,1.4,0.4
3778,5.1,3.3,1.4,0.4
3779,5.1,3.4,1.4,0.1
3780,4.6,3.3,1.6,0.3
3781,4.6,3.2,1.6,0.4
3782,5.4,3.3,1.5,0.6
3783,5,4,1.5,0.1
3784,5.4,4.2,1.4,0.4
3785,4.8,3,1.5,0.2
3786,4.8,3.2,1.3,0.2
3787,5.6,3.5,1.3,0.2
3788,4.7,3.2,1.4,0.2
3789,4.3,2.9,1.2,0.3
3790,4.9,3.4,1.4,0.4
3791,4.8,3.4,1.3,0.3
3792,4.3,2.1,1.1,0.2
3793,4.3,3.2,1.2,0.3
3794,5,3.3,1.6,0.6
3795,5,3.8,2,0.4
3796,4.8,2.9,1.2,0.3
3797,5,3.7,1.6,0.1
3798,4.5,3.2,1.4,0.2
3799,5.4,3.7,1.4,0.3
3800,5,3.3,1.3,0.3
3801,7,3.1,4.6,1.5
3802,6.3,3.2,4.4,1.5
3803,6.9,3,4.9,1.6
3804,5.5,2.3,4,1.4
3805,6.4,2.7,4.6,1.6
3806,5.6,2.7,4.6,1.2
3807,6.2,3.2,4.6,1.6
3808,4.9,2.3,3.3,1.1
3809,6.7,2.8,4.5,1.3
3810,5.2,2.5,4,1.4
3811,4.9,1.8,3.4,1.1
3812,5.8,2.9,4.2,1.6
3813,5.9,2.2,3.9,1.1
3814,6,2.9,4.7,1.3
3815,5.7,2.9,3.6,1.3
3816,6.8,3.1,4.3,1.4
3817,5.7,3,4.6,1.4
3818,5.7,2.8,4,1.1
3819,6,2.2,4.4,1.6
3820,5.6,2.5,4,1.2
3821,5.9,3.2,4.7,1.8
3822,6,2.8,4.1,1.4
3823,6.3,2.4,4.8,1.5
3824,6.1,2.8,4.6,1.3
3825,6.3,2.7,4.2,1.3
3826,6.6,3,4.3,1.4
3827,6.8,2.7,4.8,1.5
3828,6.8,2.9,4.9,1.8
3829,5.8,2.8,4.3,1.7
3830,5.7,2.4,3.4,0.9
3831,5.6,2.4,3.7,1.3
3832,5.5,2.4,3.6,1.1
3833,5.7,2.6,3.8,1.3
3834,6,2.6,5,1.8
3835,5.4,3,4.5,1.6
3836,5.9,3.5,4.4,1.7
3837,6.5,3.2,4.6,1.6
3838,6.2,2.2,4.3,1.4
3839,5.6,2.8,4,1.4
3840,5.4,2.6,3.9,1.4
3841,5.4,2.4,4.4,1.3
3842,6,2.9,4.5,1.5
3843,5.9,2.5,3.9,1.3
3844,4.9,2.1,3.2,1
3845,5.6,2.6,4.1,1.4
3846,5.7,2.8,4.2,1.3
3847,5.7,2.9,4.1,1.5
3848,6.1,2.9,4.3,1.5
3849,5.2,2.6,3,1.2
3850,5.6,2.6,3.9,1.4
3851,6.3,3.1,6,2.5
3852,5.7,2.6,5.1,2
3853,7.1,2.9,5.8,2.1
3854,6.3,2.7,5.6,1.9
3855,6.3,2.8,5.6,2.1
3856,7.7,3,6.5,2.1
3857,4.9,2.4,4.4,1.8
3858,7.3,2.9,6.3,1.8
3859,6.7,2.5,5.7,1.8
3860,7.2,3.5,6.1,2.4
3861,6.5,3.1,5.1,2.1
3862,6.3,2.7,5.3,2.1
3863,6.7,2.9,5.5,2.2
3864,5.6,2.5,4.9,2.1
3865,5.6,2.9,5.1,2.4
3866,6.4,3.1,5.3,2.3
3867,6.6,3,5.5,1.9
3868,7.7,3.7,6.7,2.2
3869,7.6,2.5,6.8,2.4
3870,5.9,2.2,5.1,1.6
3871,6.8,3.1,5.8,2.2
3872,5.5,2.9,4.8,2
3873,7.7,2.8,6.8,1.9
3874,6.3,2.7,4.9,1.8
3875,6.6,3.4,5.7,2.2
3876,7.2,3.2,5.9,1.9
3877,6.2,2.7,4.8,1.9
3878,6,3,4.9,1.8
3879,6.4,2.7,5.6,2.1
3880,7,3,5.8,1.7
3881,7.2,2.7,6.1,2
3882,7.7,3.9,6.4,2.2
3883,6.5,2.8,5.6,2.3
3884,6.1,2.7,5.2,1.5
3885,5.9,2.5,5.6,1.5
3886,7.7,2.9,6,2.3
3887,6.3,3.3,5.6,2.5
3888,6.3,2.9,5.4,1.9
3889,6.1,2.9,4.7,1.8
3890,6.8,3.1,5.5,2.1
3891,6.6,3,5.5,2.6
3892,6.8,3.1,5.2,2.4
3893,5.8,2.7,5,1.9
3894,6.7,3.2,5.8,2.3
3895,6.6,3.3,5.7,2.5
3896,6.7,2.9,5,2.4
3897,6.2,2.6,4.8,1.9
3898,6.4,2.9,5.2,2
3899,6.1,3.5,5.4,2.4
3900,5.9,3,5.2,1.9
3901,5.1,3.5,1.3,0.2
3902,4.8,3.1,1.3,0.2
3903,4.7,3.2,1.3,0.1
3904,4.4,3,1.5,0.2
3905,5,3.6,1.3,0.2
3906,5.2,3.9,1.7,0.4
3907,4.5,3.2,1.3,0.3
3908,5.1,3.4,1.5,0.3
3909,4.4,2.9,1.4,0.3
3910,4.8,3,1.4,0.1
3911,5.3,3.6,1.5,0.3
3912,4.8,3.3,1.5,0.3
3913,4.9,2.9,1.3,0.2
3914,4.2,3,1.1,0.1
3915,5.7,4,1,0.3
3916,5.6,4.3,1.4,0.4
3917,5.4,3.8,1.3,0.4
3918,5.1,3.5,1.4,0.4
3919,5.6,3.7,1.6,0.2
3920,5.2,3.8,1.3,0.4
3921,5.4,3.3,1.5,0.1
3922,4.9,3.6,1.4,0.4
3923,4.6,3.6,0.9,0.4
3924,5,3.3,1.7,0.4
3925,4.8,3.2,1.9,0.4
3926,4.8,2.9,1.6,0.3
3927,5,3.3,1.6,0.4
3928,5.2,3.4,1.5,0.3
3929,5,3.3,1.4,0.3
3930,4.6,3.2,1.6,0.2
3931,4.8,3,1.5,0.1
3932,5.3,3.4,1.5,0.5
3933,5.2,4.2,1.4,0.2
3934,5.3,4.2,1.4,0.3
3935,4.8,3.1,1.5,0.2
3936,5,3.3,1.1,0.3
3937,5.4,3.5,1.1,0.2
3938,5,3.1,1.3,0.1
3939,4.4,3,1.2,0.3
3940,5.1,3.5,1.5,0.3
3941,4.9,3.5,1.3,0.2
3942,4.5,2.3,1.2,0.4
3943,4.3,3.1,1.3,0.4
3944,4.9,3.4,1.5,0.5
3945,5.1,3.8,1.8,0.5
3946,4.8,3.1,1.3,0.5
3947,5.1,3.8,1.6,0.1
3948,4.4,3.3,1.4,0.2
3949,5.3,3.8,1.5,0.2
3950,4.9,3.3,1.3,0.3
3951,6.9,3.1,4.7,1.5
3952,6.4,3.1,4.4,1.6
3953,6.8,3,4.9,1.5
3954,5.5,2.4,4,1.4
3955,6.4,2.6,4.5,1.5
3956,5.8,2.9,4.5,1.3
3957,6.3,3.3,4.7,1.6
3958,4.8,2.2,3.3,1
3959,6.6,2.8,4.6,1.5
3960,5.1,2.7,3.8,1.3
3961,5,1.9,3.6,1.1
3962,5.9,3,4.1,1.7
3963,6,2.2,3.9,1
3964,6.1,2.8,4.6,1.5
3965,5.5,2.7,3.5,1.4
3966,6.6,3,4.3,1.4
3967,5.6,2.8,4.4,1.5
3968,5.7,2.7,3.9,0.9
3969,6.1,2,4.5,1.6
3970,5.5,2.5,3.8,1.2
3971,5.9,3.3,4.7,1.8
3972,6.2,2.7,3.9,1.2
3973,6.3,2.5,4.9,1.6
3974,6.1,2.7,4.7,1.2
3975,6.4,2.9,4.3,1.4
3976,6.7,2.9,4.3,1.5
3977,6.7,2.6,4.8,1.5
3978,6.6,2.9,4.9,1.9
3979,5.8,2.9,4.4,1.7
3980,5.8,2.4,3.4,1.2
3981,5.4,2.4,3.7,1.1
3982,5.6,2.4,3.6,1.1
3983,5.7,2.7,3.9,1.1
3984,6.1,2.6,5.1,1.8
3985,5.3,3,4.4,1.5
3986,6,3.4,4.4,1.7
3987,6.6,3.1,4.6,1.5
3988,6.2,2.2,4.5,1.4
3989,5.4,3,4.1,1.4
3990,5.3,2.3,3.8,1.2
3991,5.6,2.6,4.2,1.3
3992,6.1,3,4.5,1.5
3993,5.8,2.7,3.8,1.3
3994,4.9,2.4,3.4,1.1
3995,5.6,2.8,4.1,1.3
3996,5.6,2.9,4,1.4
3997,5.7,2.8,4,1.4
3998,6.3,2.7,4.2,1.3
3999,5,2.5,2.9,1.1
4000,5.5,2.7,4.1,1.3
4001,6.2,3.2,5.9,2.5
4002,5.7,2.7,5,2
4003,6.9,2.9,5.9,2.2
4004,6.1,2.8,5.6,1.9
4005,6.4,2.9,5.8,2.3
4006,7.7,3,6.5,2.1
4007,5,2.5,4.4,1.8
4008,7.2,2.9,6.3,1.8
4009,6.7,2.5,5.9,1.7
4010,7.2,3.6,6,2.5
4011,6.3,3.1,5,2
4012,6.4,2.7,5.2,2
4013,6.7,3,5.3,2.1
4014,5.7,2.4,4.9,2.1
4015,5.7,2.7,5.1,2.6
4016,6.3,3.2,5.2,2.3
4017,6.3,3,5.4,1.8
4018,7.8,3.8,6.7,2.3
4019,7.6,2.6,7,2.3
4020,6,2.2,5,1.6
4021,6.9,3.1,5.5,2.4
4022,5.5,2.7,4.8,2
4023,7.6,2.6,6.6,1.9
4024,6.2,2.7,4.9,1.8
4025,6.6,3.2,5.7,2.2
4026,7.1,3.2,5.9,1.9
4027,6.1,2.6,4.8,1.8
4028,5.9,3,4.9,1.8
4029,6.3,2.8,5.6,2
4030,7.2,3,5.8,1.6
4031,7.3,2.7,6,2
4032,7.8,3.8,6.3,2.2
4033,6.4,2.7,5.5,2.1
4034,6.2,2.8,5,1.6
4035,5.9,2.6,5.4,1.5
4036,7.6,2.9,5.9,2.3
4037,6.2,3.4,5.6,2.5
4038,6.2,3,5.6,1.9
4039,6,3,4.8,1.9
4040,6.8,3.2,5.3,2.2
4041,6.8,3,5.5,2.4
4042,6.9,2.9,5.1,2.4
4043,5.6,2.6,5,1.9
4044,6.8,3.1,5.9,2.4
4045,6.6,3.4,5.7,2.5
4046,6.7,2.8,5.2,2.2
4047,6.2,2.4,4.9,2
4048,6.5,3,5.1,2.1
4049,6.1,3.3,5.3,2.4
4050,5.8,3,5,2
4051,5,3.4,1.3,0.4
4052,4.9,3,1.4,0.3
4053,4.7,3.1,1.2,0.2
4054,4.5,3,1.5,0.2
4055,4.9,3.5,1.3,0.3
4056,5.5,3.7,1.6,0.4
4057,4.6,3.3,1.3,0.3
4058,5.1,3.4,1.5,0.3
4059,4.3,3,1.4,0.2
4060,4.9,3.1,1.4,0.2
4061,5.3,3.6,1.5,0.3
4062,4.6,3.2,1.5,0.4
4063,4.7,3,1.2,0.2
4064,4.3,3,1,0.2
4065,5.8,4,1.1,0.3
4066,5.6,4.4,1.5,0.5
4067,5.4,3.7,1.3,0.6
4068,5,3.6,1.3,0.3
4069,5.8,3.7,1.7,0.4
4070,4.9,3.8,1.5,0.5
4071,5.4,3.4,1.6,0.3
4072,5.1,3.6,1.5,0.5
4073,4.6,3.5,1,0.2
4074,5.1,3.2,1.8,0.4
4075,4.7,3.5,1.9,0.2
4076,4.8,3,1.6,0.2
4077,5,3.3,1.5,0.5
4078,5.2,3.4,1.6,0.2
4079,5.1,3.4,1.3,0.3
4080,4.7,3.2,1.4,0.3
4081,4.8,2.9,1.6,0.2
4082,5.4,3.3,1.4,0.4
4083,5.2,4,1.5,0.2
4084,5.3,4.2,1.3,0.3
4085,4.8,3.1,1.4,0.2
4086,4.9,3.1,1.2,0.2
4087,5.4,3.5,1.3,0.3
4088,4.7,3,1.5,0.2
4089,4.3,2.8,1.2,0.3
4090,5,3.3,1.4,0.3
4091,5.1,3.5,1.3,0.4
4092,4.4,2.3,1.3,0.4
4093,4.3,3.1,1.2,0.3
4094,5.1,3.5,1.5,0.7
4095,5.1,3.6,1.9,0.4
4096,4.7,3,1.4,0.3
4097,4.9,3.9,1.5,0.2
4098,4.6,3.1,1.4,0.1
4099,5.4,3.7,1.3,0.3
4100,5,3.3,1.4,0.3
4101,7,3.2,4.7,1.4
4102,6.3,3.2,4.5,1.5
4103,6.8,3,4.9,1.6
4104,5.6,2.2,4.1,1.3
4105,6.4,2.7,4.7,1.4
4106,5.6,2.9,4.3,1.4
4107,6.4,3.4,4.7,1.5
4108,4.7,2.5,3.3,1
4109,6.5,2.9,4.6,1.4
4110,5.1,2.5,3.8,1.5
4111,4.9,2,3.3,0.9
4112,5.9,2.9,4.2,1.5
4113,6,2,3.9,1.1
4114,6.1,2.7,4.7,1.5
4115,5.5,2.9,3.6,1.4
4116,6.8,3,4.3,1.3
4117,5.4,3,4.4,1.6
4118,5.8,2.7,4,1.1
4119,6.2,2.2,4.4,1.5
4120,5.5,2.5,3.9,1.2
4121,5.8,3.1,4.8,2
4122,6,2.6,3.8,1.2
4123,6.2,2.5,4.8,1.5
4124,6.1,2.9,4.7,1.3
4125,6.4,3,4.2,1.2
4126,6.6,2.8,4.3,1.4
4127,6.8,2.6,4.7,1.4
4128,6.7,2.9,4.9,1.9
4129,5.9,2.9,4.4,1.6
4130,5.6,2.5,3.5,1
4131,5.5,2.3,3.6,1.1
4132,5.5,2.3,3.6,1
4133,5.8,2.6,4,1.2
4134,5.9,2.5,5,1.7
4135,5.4,2.9,4.5,1.6
4136,5.8,3.4,4.5,1.7
4137,6.6,3.1,4.5,1.6
4138,6.2,2.2,4.5,1.4
4139,5.5,2.9,3.9,1.4
4140,5.5,2.3,4,1.3
4141,5.5,2.6,4.3,1.2
4142,6.1,2.9,4.6,1.6
4143,5.8,2.6,3.9,1.3
4144,4.9,2.3,3.2,1
4145,5.4,2.6,4.1,1.3
4146,5.8,3,4.2,1.3
4147,5.6,2.8,4.1,1.5
4148,6.2,2.8,4.3,1.4
4149,5,2.5,3,1
4150,5.7,2.6,4,1.2
4151,6.3,3.2,6,2.7
4152,5.8,2.6,5,2
4153,7,2.9,5.7,2.2
4154,6.3,2.9,5.5,2
4155,6.3,2.8,5.7,2.2
4156,7.6,3,6.5,2.3
4157,4.8,2.4,4.6,1.6
4158,7.3,2.8,6.2,1.9
4159,6.6,2.4,5.8,1.8
4160,7.2,3.5,6,2.6
4161,6.5,3.2,5.1,2
4162,6.3,2.7,5.3,2
4163,6.9,3,5.4,2.1
4164,5.7,2.3,4.9,2
4165,5.8,2.8,5,2.5
4166,6.3,3.3,5.2,2.3
4167,6.5,3,5.4,1.8
4168,7.7,3.7,6.6,2.3
4169,7.6,2.6,6.7,2.3
4170,5.9,2.2,5.1,1.5
4171,6.9,3.2,5.7,2.4
4172,5.6,2.8,4.9,2.1
4173,7.7,2.9,6.6,1.9
4174,6.1,2.5,4.8,1.8
4175,6.6,3.2,5.6,2.3
4176,7.2,3.1,6,1.9
4177,6,2.7,4.8,1.8
4178,5.9,2.9,4.8,1.7
4179,6.4,2.7,5.7,2.2
4180,7,3,5.8,1.5
4181,7.2,2.8,6,1.9
4182,7.9,3.8,6.3,2.2
4183,6.3,2.8,5.5,2.2
4184,6.3,2.8,5.1,1.5
4185,6,2.6,5.6,1.5
4186,7.7,2.8,6.1,2.4
4187,6.3,3.4,5.5,2.5
4188,6.3,2.9,5.5,1.8
4189,5.9,3,4.7,1.8
4190,6.9,3.1,5.4,2.2
4191,6.6,3,5.5,2.4
4192,6.9,3,5.1,2.4
4193,5.7,2.6,5,2.1
4194,6.8,3,5.7,2.3
4195,6.7,3.3,5.8,2.5
4196,6.6,2.9,5.1,2.3
4197,6.2,2.5,5,1.9
4198,6.5,3,5.3,2.1
4199,6.1,3.5,5.3,2.4
4200,5.9,2.9,5,1.8
4201,5,3.5,1.2,0.3
